Date,BallType,BallNumber,Position,PowerPlay,Year,YearMonth
2025-01-01,Main,35,5,3,2025,2025-01
2025-01-04,Main,32,5,2,2025,2025-01
2025-01-06,Main,66,5,2,2025,2025-01
2010-02-03,Powerball,24,PB,2,2010,2010-02
2010-02-06,Powerball,4,PB,3,2010,2010-02
2010-02-10,Powerball,34,PB,5,2010,2010-02
2011-01-01,Powerball,36,PB,2,2011,2011-01
2011-01-05,Powerball,7,PB,5,2011,2011-01
2011-01-08,Powerball,24,PB,2,2011,2011-01
2012-01-04,Powerball,2,PB,4,2012,2012-01
2012-01-07,Powerball,24,PB,5,2012,2012-01
2012-01-11,Powerball,25,PB,2,2012,2012-01
2013-01-02,Powerball,20,PB,,2013,2013-01
2013-01-05,Powerball,25,PB,,2013,2013-01
2013-01-09,Powerball,26,PB,,2013,2013-01
2014-01-01,Powerball,23,PB,,2014,2014-01
2014-01-04,Powerball,14,PB,,2014,2014-01
2014-01-08,Powerball,22,PB,,2014,2014-01
2015-01-03,Powerball,25,PB,3,2015,2015-01
2015-01-07,Powerball,10,PB,2,2015,2015-01
2015-01-10,Powerball,19,PB,5,2015,2015-01
2016-01-02,Powerball,10,PB,2,2016,2016-01
2016-01-06,Powerball,17,PB,3,2016,2016-01
2016-01-09,Powerball,13,PB,3,2016,2016-01
2017-01-04,Powerball,4,PB,3,2017,2017-01
2017-01-07,Powerball,10,PB,2,2017,2017-01
2017-01-11,Powerball,24,PB,2,2017,2017-01
2018-01-03,Powerball,12,PB,3,2018,2018-01
2018-01-06,Powerball,26,PB,3,2018,2018-01
2018-01-10,Powerball,4,PB,5,2018,2018-01
2019-01-02,Powerball,12,PB,2,2019,2019-01
2019-01-05,Powerball,19,PB,2,2019,2019-01
2019-01-09,Powerball,22,PB,3,2019,2019-01
2020-01-01,Powerball,26,PB,2,2020,2020-01
2020-01-04,Powerball,7,PB,2,2020,2020-01
2020-01-08,Powerball,22,PB,4,2020,2020-01
2021-01-02,Powerball,5,PB,2,2021,2021-01
2021-01-06,Powerball,3,PB,3,2021,2021-01
2021-01-09,Powerball,13,PB,2,2021,2021-01
2022-01-01,Powerball,7,PB,2,2022,2022-01
2022-01-03,Powerball,22,PB,2,2022,2022-01
2022-01-05,Powerball,17,PB,2,2022,2022-01
2023-01-02,Powerball,22,PB,2,2023,2023-01
2023-01-04,Powerball,26,PB,3,2023,2023-01
2023-01-07,Powerball,14,PB,3,2023,2023-01
2024-01-01,Powerball,1,PB,3,2024,2024-01
2024-01-03,Powerball,8,PB,10,2024,2024-01
2024-01-06,Powerball,13,PB,2,2024,2024-01
2025-01-01,Powerball,26,PB,3,2025,2025-01
2025-01-04,Powerball,24,PB,2,2025,2025-01
2025-01-06,Powerball,14,PB,2,2025,2025-01
